Cliente_ID,Nome_Cliente,CNPJ_CPF,Data_Vencimento,Valor_Devido,Valor_Pago,Cidade,Regiao
1,Cliente 1,11.222.333/0001-99,2025-01-06,5355.63,83845.26,Rio,Sudeste
2,Cliente 2,22.333.444/0001-88,2025-03-29,2038.76,37589.54,BH,Sul
3,Cliente 3,11.222.333/0001-99,2025-02-11,75353.01,141144.19,São Paulo,Sul
4,Cliente 4,11.222.333/0001-99,2023-01-13,6091.53,76691.22,São Paulo,Sul
5,Cliente 5,11.222.333/0001-99,2025-07-03,3503.13,19344.9,São Paulo,Sudeste
6,Cliente 6,22.333.444/0001-88,2025-07-09,1095.42,41940.94,BH,Sudeste
7,Cliente 7,11.222.333/0001-99,2025-04-04,6144.15,109463.62,Rio,Sul
8,Cliente 8,11.222.333/0001-99,2024-01-06,20056.05,2048.86,BH,Sul
9,Cliente 9,11.222.333/0001-99,2026-08-07,2439.01,140672.7,Rio,Sul
10,Cliente 10,22.333.444/0001-88,2023-11-28,4077.62,66776.54,São Paulo,Sudeste
11,Cliente 11,11.222.333/0001-99,2023-09-18,6966.16,78161.85,BH,Sul
12,Cliente 12,11.222.333/0001-99,2026-05-13,9519.0,148261.84,Rio,Sudeste
13,Cliente 13,11.222.333/0001-99,2024-11-27,3416.02,75510.46,São Paulo,Sul
14,Cliente 14,11.222.333/0001-99,2024-11-17,2832.59,142161.6,São Paulo,Sudeste
15,Cliente 15,22.333.444/0001-88,2025-08-07,2404.11,137284.67,BH,Sul
16,Cliente 16,11.222.333/0001-99,2024-01-22,1043.95,141197.33,Rio,Sul
17,Cliente 17,22.333.444/0001-88,2025-03-31,1671.96,121855.96,São Paulo,Sul
18,Cliente 18,22.333.444/0001-88,2024-04-12,1610.19,44459.71,São Paulo,Sul
19,Cliente 19,22.333.444/0001-88,2026-12-09,567.34,51957.37,São Paulo,Sudeste
20,Cliente 20,11.222.333/0001-99,2023-03-10,19734.48,54747.61,Rio,Sul
21,Cliente 21,22.333.444/0001-88,2026-02-01,8130.64,146877.13,Rio,Sul
22,Cliente 22,11.222.333/0001-99,2026-03-30,5997.62,54113.33,São Paulo,Sul
23,Cliente 23,22.333.444/0001-88,2023-07-19,30527.01,16303.4,Rio,Sudeste
24,Cliente 24,22.333.444/0001-88,2023-08-04,13426.51,116749.33,São Paulo,Sul
25,Cliente 25,22.333.444/0001-88,2023-07-31,1627.07,54909.49,São Paulo,Sul
26,Cliente 26,22.333.444/0001-88,2024-05-22,25406.17,93140.39,Rio,Sul
27,Cliente 27,22.333.444/0001-88,2023-01-16,19171.23,138654.06,Rio,Sudeste
28,Cliente 28,22.333.444/0001-88,2025-06-02,1027.53,86325.84,BH,Sudeste
29,Cliente 29,22.333.444/0001-88,2023-11-28,17394.22,95655.03,BH,Sudeste
30,Cliente 30,22.333.444/0001-88,2024-12-17,2555.11,96429.38,Rio,Sudeste
31,Cliente 31,11.222.333/0001-99,2024-07-04,19850.96,91859.88,Rio,Sudeste
32,Cliente 32,11.222.333/0001-99,2025-07-30,3062.16,23965.41,Rio,Sudeste
33,Cliente 33,22.333.444/0001-88,2023-09-13,2329.33,68462.31,Rio,Sul
34,Cliente 34,22.333.444/0001-88,2025-09-18,2690.86,1149.6,São Paulo,Sudeste
35,Cliente 35,22.333.444/0001-88,2024-12-28,1260.12,93939.72,São Paulo,Sul
36,Cliente 36,11.222.333/0001-99,2025-05-29,618.63,86303.74,BH,Sul
37,Cliente 37,22.333.444/0001-88,2025-03-25,148.62,47720.58,Rio,Sul
38,Cliente 38,11.222.333/0001-99,2026-04-10,1122.66,78584.33,BH,Sudeste
39,Cliente 39,11.222.333/0001-99,2024-10-10,195413.4,73958.67,Rio,Sudeste
40,Cliente 40,11.222.333/0001-99,2025-09-26,9600.45,37637.28,Rio,Sul
41,Cliente 41,11.222.333/0001-99,2024-04-15,66830.29,43993.13,Rio,Sul
42,Cliente 42,11.222.333/0001-99,2026-11-08,3147.99,114381.15,São Paulo,Sul
43,Cliente 43,22.333.444/0001-88,2024-11-20,2551.28,113359.85,BH,Sudeste
44,Cliente 44,22.333.444/0001-88,2024-11-30,54347.66,70467.32,Rio,Sul
45,Cliente 45,22.333.444/0001-88,2024-05-21,8317.09,107626.34,BH,Sul
46,Cliente 46,22.333.444/0001-88,2025-09-18,1290.28,67620.19,BH,Sul
47,Cliente 47,22.333.444/0001-88,2025-10-06,11921.33,127706.11,São Paulo,Sudeste
48,Cliente 48,11.222.333/0001-99,2025-03-14,28317.59,49921.0,São Paulo,Sudeste
49,Cliente 49,22.333.444/0001-88,2025-04-10,665.79,139093.87,Rio,Sudeste
50,Cliente 50,22.333.444/0001-88,2026-09-10,9419.35,81342.55,BH,Sudeste
51,Cliente 51,11.222.333/0001-99,2023-08-02,730.39,80353.18,São Paulo,Sudeste
52,Cliente 52,22.333.444/0001-88,2026-05-16,26250.95,100621.56,BH,Sul
53,Cliente 53,11.222.333/0001-99,2023-06-18,6788.45,51128.4,BH,Sul
54,Cliente 54,22.333.444/0001-88,2026-09-15,11867.11,108649.44,Rio,Sul
55,Cliente 55,11.222.333/0001-99,2026-07-27,3624.89,48063.77,BH,Sudeste
56,Cliente 56,22.333.444/0001-88,2025-09-04,405.76,59630.82,São Paulo,Sul
57,Cliente 57,22.333.444/0001-88,2026-08-21,2649.15,101205.52,Rio,Sudeste
58,Cliente 58,11.222.333/0001-99,2023-05-26,18065.79,56767.37,Rio,Sudeste
59,Cliente 59,11.222.333/0001-99,2024-05-30,80103.94,29996.12,Rio,Sul
60,Cliente 60,11.222.333/0001-99,2026-01-18,7296.91,130785.22,São Paulo,Sul
61,Cliente 61,11.222.333/0001-99,2024-03-28,1880.15,138323.31,Rio,Sul
62,Cliente 62,11.222.333/0001-99,2023-03-01,10404.4,94009.66,BH,Sudeste
63,Cliente 63,11.222.333/0001-99,2026-08-27,15928.3,121672.62,Rio,Sul
64,Cliente 64,11.222.333/0001-99,2024-06-11,5918.6,147997.85,São Paulo,Sul
65,Cliente 65,11.222.333/0001-99,2026-06-04,5430.03,92216.21,São Paulo,Sul
66,Cliente 66,22.333.444/0001-88,2025-10-20,6627.95,136318.9,Rio,Sudeste
67,Cliente 67,22.333.444/0001-88,2024-04-18,5223.75,53888.21,BH,Sudeste
68,Cliente 68,11.222.333/0001-99,2025-01-26,7456.89,105070.87,São Paulo,Sul
69,Cliente 69,22.333.444/0001-88,2025-02-20,63486.88,8370.82,São Paulo,Sudeste
70,Cliente 70,22.333.444/0001-88,2026-01-07,285.25,118345.73,São Paulo,Sul
71,Cliente 71,22.333.444/0001-88,2024-03-08,3519.81,124470.47,Rio,Sudeste
72,Cliente 72,22.333.444/0001-88,2026-03-22,1332.36,60176.32,São Paulo,Sul
73,Cliente 73,11.222.333/0001-99,2024-02-05,25671.18,95843.25,São Paulo,Sudeste
74,Cliente 74,22.333.444/0001-88,2026-07-26,4035.01,128754.17,São Paulo,Sudeste
75,Cliente 75,11.222.333/0001-99,2023-02-26,10759.96,132541.22,Rio,Sul
76,Cliente 76,22.333.444/0001-88,2025-09-29,36251.26,15979.73,São Paulo,Sudeste
77,Cliente 77,22.333.444/0001-88,2023-07-05,1082.02,124123.16,São Paulo,Sul
78,Cliente 78,22.333.444/0001-88,2024-02-02,2348.37,41136.5,Rio,Sul
79,Cliente 79,11.222.333/0001-99,2024-08-27,31373.39,109096.03,Rio,Sul
80,Cliente 80,22.333.444/0001-88,2025-02-26,1023.02,48774.62,BH,Sudeste
